Index,Date,ClockTime,RawTime,TraceSampID,BB1:INT,BB2:INT,BB3:INT,BB4:INT,BB5:INT,BB6:INT,BB7:INT,BB8:INT,BP1:LREAL,BP2:LREAL,BB13:INT
53,1970-01-01,11:47:37.48,42457479755900,,770,770,770,770,770,760,770,760,0,"4,891302",102
54,1970-01-01,11:47:37.58,42457579741630,,770,760,770,770,770,760,760,760,0,"4,891302",103
55,1970-01-01,11:47:37.68,42457679720245,,770,770,770,770,770,760,760,760,0,"4,891302",103
56,1970-01-01,11:47:37.78,42457779710380,,770,760,770,770,770,760,770,760,0,"4,891302",103
57,1970-01-01,11:47:37.88,42457879724430,,770,760,770,770,770,760,760,760,0,"4,891302",102
58,1970-01-01,11:47:37.98,42457979711565,,770,760,770,770,770,760,770,760,0,"4,891302",103
59,1970-01-01,11:47:38.08,42458079725400,,770,760,770,770,770,760,770,760,0,"4,891302",103
60,1970-01-01,11:47:38.18,42458179717690,,770,760,770,770,770,760,760,760,0,"4,891302",103
61,1970-01-01,11:47:38.28,42458279737730,,770,760,770,770,770,760,770,760,0,"4,891302",103
62,1970-01-01,11:47:38.38,42458379762485,,770,760,770,770,770,760,760,760,0,"4,891302",103
63,1970-01-01,11:47:38.48,42458479738620,,770,760,770,770,770,760,760,760,0,"4,891302",102
64,1970-01-01,11:47:38.58,42458579771225,,770,760,770,770,770,760,770,760,0,"4,891302",103
65,1970-01-01,11:47:38.68,42458679770595,,770,760,770,770,770,760,760,760,0,"4,891302",102
66,1970-01-01,11:47:38.78,42458779762415,,770,760,770,770,770,760,770,760,0,"4,891302",102
67,1970-01-01,11:47:38.88,42458879727245,,770,760,770,770,770,760,770,760,0,"4,891302",103
68,1970-01-01,11:47:38.98,42458979768535,,770,760,770,770,770,760,770,760,0,"4,891302",103
69,1970-01-01,11:47:39.08,42459079723685,,770,770,770,770,770,760,760,760,0,"4,891302",103
70,1970-01-01,11:47:39.18,42459179710440,,770,760,770,770,770,760,760,760,0,"4,891302",103
71,1970-01-01,11:47:39.28,42459279713060,,770,760,770,770,770,760,770,760,0,"4,891302",103
72,1970-01-01,11:47:39.38,42459379709430,,770,770,770,770,770,760,760,760,0,"4,891302",103
73,1970-01-01,11:47:39.48,42459479719425,,770,760,770,770,770,760,760,760,0,"4,891302",103
74,1970-01-01,11:47:39.58,42459579715000,,770,760,770,770,770,760,760,760,0,"4,891302",103
75,1970-01-01,11:47:39.68,42459679729110,,770,760,770,770,770,760,760,760,0,"4,891302",103
76,1970-01-01,11:47:39.78,42459779735840,,770,760,770,770,770,760,760,760,0,"4,891302",103
77,1970-01-01,11:47:39.88,42459879767770,,770,760,770,770,770,760,760,760,0,"4,891302",103
78,1970-01-01,11:47:39.98,42459979726765,,770,760,770,770,770,760,760,760,0,"4,891302",103
79,1970-01-01,11:47:40.08,42460079770220,,770,760,770,770,770,760,760,760,0,"4,891302",103
80,1970-01-01,11:47:40.18,42460179772345,,770,760,770,770,770,760,760,760,0,"4,891302",103
